texto,origen,texto_limpio,tokens,longitud
"Que Rafael Correa es un pobre imbécil, un tarúpido y un torpe.  Dicen sus propios borregos, incluído el asesor de la rana rené.  - Alguien hágale llegar esto al prófugo badea que a mi me tiene bloqueada.  x.com/altavoz_ecu/st …",x,que rafael correa es un pobre imbecil un tarupido y un torpe dicen sus propios borregos incluido el asesor de la rana rene alguien hagale llegar esto al profugo badea que a mi me tiene bloqueada xcomaltavozecust,"['rafael', 'corre', 'pobr', 'imbecil', 'tarup', 'torp', 'dic', 'propi', 'borreg', 'inclu', 'asesor', 'ran', 'ren', 'algui', 'hagal', 'lleg', 'profug', 'bade', 'bloqu', 'xcomaltavozecust']",39
Jean Wyllys aplaudindo Alexander Dugin - junto a Rafael Corrêa e Gustavo Petro.  Parem tudo o que estão fazendo.,x,jean wyllys aplaudindo alexander dugin junto a rafael correa e gustavo petro parem tudo o que estao fazendo,"['jean', 'wyllys', 'aplaudind', 'alexand', 'dugin', 'junt', 'rafael', 'corre', 'gustav', 'petr', 'parem', 'tud', 'esta', 'fazend']",19
"Rafael Correa “estuvo presente” en la convención de la Revolución Ciudadana… no en persona, sino a través de un disfraz que buscaba simbolizar su liderazgo ausente.",x,rafael correa estuvo presente en la convencion de la revolucion ciudadana no en persona sino a traves de un disfraz que buscaba simbolizar su liderazgo ausente,"['rafael', 'corre', 'present', 'convencion', 'revolucion', 'ciudadan', 'person', 'sin', 'trav', 'disfraz', 'busc', 'simboliz', 'liderazg', 'ausent']",26
"Es 100% herencia de Rafael Correa, literalmente legalizo pandillas y toda izquierda mundial y sus medios lo aplaudían. En el mediano y largo plazo se ven las consecuencias de organizaciones criminales que amasaron riqueza durante todos esos años y se disputan el poder.",x,es herencia de rafael correa literalmente legalizo pandillas y toda izquierda mundial y sus medios lo aplaudian en el mediano y largo plazo se ven las consecuencias de organizaciones criminales que amasaron riqueza durante todos esos anos y se disputan el poder,"['herenci', 'rafael', 'corre', 'literal', 'legaliz', 'pandill', 'tod', 'izquierd', 'mundial', 'medi', 'aplaudi', 'median', 'larg', 'plaz', 'ven', 'consecuent', 'organiz', 'criminal', 'amas', 'riquez', 'anos', 'disput', 'pod']",43
El prófugo y menestra de Rafael Correa es una virus que infecta todo lo que toca.,x,el profugo y menestra de rafael correa es una virus que infecta todo lo que toca,"['profug', 'menestr', 'rafael', 'corre', 'virus', 'infect', 'toc']",16
"#Manabi La Alcaldesa del Cantón de Simón Bolívar, Maria Fernanda Vargas, acudió a la convención de la Revolución Ciudadana a pesar de los últimos reportajes dónde se la vincula con chats con el ex capo, Leandro Norero, además el líder del movimiento Rafael Correa sigue la reunión",x,la alcaldesa del canton de simon bolivar maria fernanda vargas acudio a la convencion de la revolucion ciudadana a pesar de los ultimos reportajes donde se la vincula con chats con el ex capo leandro norero ademas el lider del movimiento rafael correa sigue la reunion,"['alcaldes', 'canton', 'simon', 'boliv', 'mari', 'fernand', 'varg', 'acudi', 'convencion', 'revolucion', 'ciudadan', 'pes', 'ultim', 'reportaj', 'vincul', 'chats', 'cap', 'leandr', 'norer', 'adem', 'lid', 'movimient', 'rafael', 'corre', 'sig', 'reunion']",47
"El presidente  @DanielNoboaOk  y su círculo cercano deberían de estar conscientes de Rafael Correa, que gobernó y controló el mayor poder del Estado por más de 10 años terminó condenado; su VP y mano derecha ídem; su arquitecto jurídico, lo mismo; su contralor 100/100 con",x,el presidente y su circulo cercano deberian de estar conscientes de rafael correa que goberno y controlo el mayor poder del estado por mas de anos termino condenado su vp y mano derecha idem su arquitecto juridico lo mismo su contralor con,"['president', 'circul', 'cercan', 'deberi', 'conscient', 'rafael', 'corre', 'gobern', 'control', 'mayor', 'pod', 'mas', 'anos', 'termin', 'conden', 'man', 'derech', 'idem', 'arquitect', 'jurid', 'mism', 'contralor']",45
"Rafael Correa un romance con las FARC, se financió con dinero de la guerrilla de Colombia para llegar a la presidencia de Ecuador.",x,rafael correa un romance con las farc se financio con dinero de la guerrilla de colombia para llegar a la presidencia de ecuador,"['rafael', 'corre', 'romanc', 'farc', 'financi', 'diner', 'guerrill', 'colombi', 'lleg', 'president', 'ecuador']",23
"Rafael Correa lo maltrató, pero, ahí está el alcalde Pabel Muñoz en la Convención de la RC5 en Manta.",x,rafael correa lo maltrato pero ahi esta el alcalde pabel munoz en la convencion de la rc en manta,"['rafael', 'corre', 'maltrat', 'ahi', 'alcald', 'pabel', 'munoz', 'convencion', 'mant']",19
"Rafael Correa, expresidente del Ecuador, tuvo una entrevista con Radio Pichincha. Correa reflexionó sobre la derrota del SÍ el 16 de noviembre. ""Es satisfactorio porque… Ver más",fb,rafael correa expresidente del ecuador tuvo una entrevista con radio pichincha correa reflexiono sobre la derrota del si el de noviembre es satisfactorio porque ver mas,"['rafael', 'corre', 'expresident', 'ecuador', 'entrev', 'radi', 'pichinch', 'corre', 'reflexion', 'derrot', 'noviembr', 'satisfactori', 'ver', 'mas']",27
"Rafael Correa reacciona a los gritos de la vicepresidenta María José Pinto: ""A mí no me parece «muy bien». Por el contrario, de ser sincera su reacción, me parece una g… Ver más",fb,rafael correa reacciona a los gritos de la vicepresidenta maria jose pinto a mi no me parece muy bien por el contrario de ser sincera su reaccion me parece una g ver mas,"['rafael', 'corre', 'reaccion', 'grit', 'vicepresident', 'mari', 'jos', 'pint', 'parec', 'bien', 'contrari', 'ser', 'sincer', 'reaccion', 'parec', 'ver', 'mas']",33
"Rafael Correa afirmó que el problema es que ""tenemos a dos primates con corbata"", Trump y Rubio, manejando la nación más poderosa de la historia de la humanidad, lo cua… Ver más",fb,rafael correa afirmo que el problema es que tenemos a dos primates con corbata trump y rubio manejando la nacion mas poderosa de la historia de la humanidad lo cua ver mas,"['rafael', 'corre', 'afirm', 'problem', 'dos', 'primat', 'corbat', 'trump', 'rubi', 'manej', 'nacion', 'mas', 'poder', 'histori', 'human', 'cua', 'ver', 'mas']",32
"Rafael Correa, expresidente del Ecuador, tuvo una entrevista con Radio Pichincha. Correa reflexionó sobre la derrota del SÍ el 16 de noviembre. ""Es satisfactorio porque algo queda, no pueden desturir todo"", expresó Correa. ""La estrategia de la derecha es generar terror"" comentó en este medio de comunicación.",fb,rafael correa expresidente del ecuador tuvo una entrevista con radio pichincha correa reflexiono sobre la derrota del si el de noviembre es satisfactorio porque algo queda no pueden desturir todo expreso correa la estrategia de la derecha es generar terror comento en este medio de comunicacion,"['rafael', 'corre', 'expresident', 'ecuador', 'entrev', 'radi', 'pichinch', 'corre', 'reflexion', 'derrot', 'noviembr', 'satisfactori', 'qued', 'pued', 'destur', 'expres', 'corre', 'estrategi', 'derech', 'gener', 'terror', 'coment', 'medi', 'comun']",47
No deberían entrevistar a personas que están prófugas,fb,no deberian entrevistar a personas que estan profugas,"['deberi', 'entrevist', 'person', 'estan', 'profug']",8
"Habla de valentía este tipo ,que haces fuera del país",fb,habla de valentia este tipo que haces fuera del pais,"['habl', 'valenti', 'tip', 'hac', 'pais']",10
"Si el tuviera valor vendría al país a rescatar a su amigo Glass, pero como es prófugo que se puede esperar.",fb,si el tuviera valor vendria al pais a rescatar a su amigo glass pero como es profugo que se puede esperar,"['valor', 'vendri', 'pais', 'rescat', 'amig', 'glass', 'profug', 'pued', 'esper']",21
Jajajaja....,fb,jajajaja,['jajajaj'],1
"Independientemente de que Noboa es un pésimo presidente, es ridículo que alguien como Correa exija algo así, más cuando se la pasaba diciendo que ""iba a renunciar"" si alguien le encontraba algo malo, y así pasaron varios casos y nunca renunció:",fb,independientemente de que noboa es un pesimo presidente es ridiculo que alguien como correa exija algo asi mas cuando se la pasaba diciendo que iba a renunciar si alguien le encontraba algo malo y asi pasaron varios casos y nunca renuncio,"['independient', 'nobo', 'pesim', 'president', 'ridicul', 'algui', 'corre', 'exij', 'asi', 'mas', 'pas', 'dic', 'iba', 'renunci', 'algui', 'encontr', 'mal', 'asi', 'pas', 'vari', 'cas', 'nunc', 'renunci']",41
- Gran Hermano y nunca renunció.,fb,gran hermano y nunca renuncio,"['gran', 'herman', 'nunc', 'renunci']",6
"- Caso Gastón Duzac y Cofiec, nunca renunció.",fb,caso gaston duzac y cofiec nunca renuncio,"['cas', 'gaston', 'duzac', 'cofiec', 'nunc', 'renunci']",8
"- Caso falsificación de título del primo, nunca renunció.",fb,caso falsificacion de titulo del primo nunca renuncio,"['cas', 'falsif', 'titul', 'prim', 'nunc', 'renunci']",9
Quien habla de valor jajajaja,fb,quien habla de valor jajajaja,"['habl', 'valor', 'jajajaj']",5
"Un prófugo ablando de valentía, que cosas no?",fb,un profugo ablando de valentia que cosas no,"['profug', 'abland', 'valenti', 'cos']",8
"Si el tuviera valentía, vendría a Ecuador a demostrar que es inocente con documentos en mano, eso es valentía.",fb,si el tuviera valentia vendria a ecuador a demostrar que es inocente con documentos en mano eso es valentia,"['valenti', 'vendri', 'ecuador', 'demostr', 'inocent', 'document', 'man', 'valenti']",19
Payaso pero venga y dígalo en una radio de acá… cierto me acorde que no puedes!!,fb,payaso pero venga y digalo en una radio de aca cierto me acorde que no puedes,"['payas', 'veng', 'digal', 'radi', 'aca', 'ciert', 'acord', 'pued']",16
"Si tuviera algo de valentía, llegaría Quito para trasladarle al encuentro!! Y si tuviera más valentía, terminaría con Patiño también!!",fb,si tuviera algo de valentia llegaria quito para trasladarle al encuentro y si tuviera mas valentia terminaria con patino tambien,"['valenti', 'llegari', 'quit', 'traslad', 'encuentr', 'mas', 'valenti', 'terminari', 'patin', 'tambi']",20
Así debe analizar q la. rc ya valió 3 atados,fb,asi debe analizar q la rc ya valio atados,"['asi', 'deb', 'analiz', 'vali', 'atad']",10
"Rafael Correa, expresidente del Ecuador, tuvo una entrevista con Radio Pichincha. Correa reflexionó sobre la derrota del SÍ el 16 de noviembre. ""Es satisfactorio porque… Ver más",fb,rafael correa expresidente del ecuador tuvo una entrevista con radio pichincha correa reflexiono sobre la derrota del si el de noviembre es satisfactorio porque ver mas,"['rafael', 'corre', 'expresident', 'ecuador', 'entrev', 'radi', 'pichinch', 'corre', 'reflexion', 'derrot', 'noviembr', 'satisfactori', 'ver', 'mas']",27
"Rafael Correa reacciona a los gritos de la vicepresidenta María José Pinto: ""A mí no me parece «muy bien». Por el contrario, de ser sincera su reacción, me parece una g… Ver más",fb,rafael correa reacciona a los gritos de la vicepresidenta maria jose pinto a mi no me parece muy bien por el contrario de ser sincera su reaccion me parece una g ver mas,"['rafael', 'corre', 'reaccion', 'grit', 'vicepresident', 'mari', 'jos', 'pint', 'parec', 'bien', 'contrari', 'ser', 'sincer', 'reaccion', 'parec', 'ver', 'mas']",33
"Rafael Correa afirmó que el problema es que ""tenemos a dos primates con corbata"", Trump y Rubio, manejando la nación más poderosa de la historia de la humanidad, lo cua… Ver más",fb,rafael correa afirmo que el problema es que tenemos a dos primates con corbata trump y rubio manejando la nacion mas poderosa de la historia de la humanidad lo cua ver mas,"['rafael', 'corre', 'afirm', 'problem', 'dos', 'primat', 'corbat', 'trump', 'rubi', 'manej', 'nacion', 'mas', 'poder', 'histori', 'human', 'cua', 'ver', 'mas']",32
"Rafael Correa, expresidente del Ecuador, tuvo una entrevista con Radio Pichincha. Correa reflexionó sobre la derrota del SÍ el 16 de noviembre. ""Es satisfactorio porque algo queda, no pueden desturir todo"", expresó Correa. ""La estrategia de la derecha es generar terror"" comentó en este medio de comunicación.",fb,rafael correa expresidente del ecuador tuvo una entrevista con radio pichincha correa reflexiono sobre la derrota del si el de noviembre es satisfactorio porque algo queda no pueden desturir todo expreso correa la estrategia de la derecha es generar terror comento en este medio de comunicacion,"['rafael', 'corre', 'expresident', 'ecuador', 'entrev', 'radi', 'pichinch', 'corre', 'reflexion', 'derrot', 'noviembr', 'satisfactori', 'qued', 'pued', 'destur', 'expres', 'corre', 'estrategi', 'derech', 'gener', 'terror', 'coment', 'medi', 'comun']",47
No deberían entrevistar a personas que están prófugas,fb,no deberian entrevistar a personas que estan profugas,"['deberi', 'entrevist', 'person', 'estan', 'profug']",8
"Habla de valentía este tipo ,que haces fuera del país",fb,habla de valentia este tipo que haces fuera del pais,"['habl', 'valenti', 'tip', 'hac', 'pais']",10
"Si el tuviera valor vendría al país a rescatar a su amigo Glass, pero como es prófugo que se puede esperar.",fb,si el tuviera valor vendria al pais a rescatar a su amigo glass pero como es profugo que se puede esperar,"['valor', 'vendri', 'pais', 'rescat', 'amig', 'glass', 'profug', 'pued', 'esper']",21
Jajajaja....,fb,jajajaja,['jajajaj'],1
"Independientemente de que Noboa es un pésimo presidente, es ridículo que alguien como Correa exija algo así, más cuando se la pasaba diciendo que ""iba a renunciar"" si alguien le encontraba algo malo, y así pasaron varios casos y nunca renunció:",fb,independientemente de que noboa es un pesimo presidente es ridiculo que alguien como correa exija algo asi mas cuando se la pasaba diciendo que iba a renunciar si alguien le encontraba algo malo y asi pasaron varios casos y nunca renuncio,"['independient', 'nobo', 'pesim', 'president', 'ridicul', 'algui', 'corre', 'exij', 'asi', 'mas', 'pas', 'dic', 'iba', 'renunci', 'algui', 'encontr', 'mal', 'asi', 'pas', 'vari', 'cas', 'nunc', 'renunci']",41
- Gran Hermano y nunca renunció.,fb,gran hermano y nunca renuncio,"['gran', 'herman', 'nunc', 'renunci']",6
"- Caso Gastón Duzac y Cofiec, nunca renunció.",fb,caso gaston duzac y cofiec nunca renuncio,"['cas', 'gaston', 'duzac', 'cofiec', 'nunc', 'renunci']",8
"- Caso falsificación de título del primo, nunca renunció.",fb,caso falsificacion de titulo del primo nunca renuncio,"['cas', 'falsif', 'titul', 'prim', 'nunc', 'renunci']",9
Quien habla de valor jajajaja,fb,quien habla de valor jajajaja,"['habl', 'valor', 'jajajaj']",5
"Un prófugo ablando de valentía, que cosas no?",fb,un profugo ablando de valentia que cosas no,"['profug', 'abland', 'valenti', 'cos']",8
"Si el tuviera valentía, vendría a Ecuador a demostrar que es inocente con documentos en mano, eso es valentía.",fb,si el tuviera valentia vendria a ecuador a demostrar que es inocente con documentos en mano eso es valentia,"['valenti', 'vendri', 'ecuador', 'demostr', 'inocent', 'document', 'man', 'valenti']",19
Payaso pero venga y dígalo en una radio de acá… cierto me acorde que no puedes!!,fb,payaso pero venga y digalo en una radio de aca cierto me acorde que no puedes,"['payas', 'veng', 'digal', 'radi', 'aca', 'ciert', 'acord', 'pued']",16
"Si tuviera algo de valentía, llegaría Quito para trasladarle al encuentro!! Y si tuviera más valentía, terminaría con Patiño también!!",fb,si tuviera algo de valentia llegaria quito para trasladarle al encuentro y si tuviera mas valentia terminaria con patino tambien,"['valenti', 'llegari', 'quit', 'traslad', 'encuentr', 'mas', 'valenti', 'terminari', 'patin', 'tambi']",20
Así debe analizar q la. rc ya valió 3 atados,fb,asi debe analizar q la rc ya valio atados,"['asi', 'deb', 'analiz', 'vali', 'atad']",10
"Rafael Correa reacciona a los gritos de la vicepresidenta María José Pinto: ""A mí no me parece «muy bien». Por el contrario, de ser sincera su reacción, me parece una gran inconsecuencia. Han reducido personal, insumos y equipos, pero se «indigna» por la falta de atención y grita a una sencilla trabajadora que no tiene la culpa de la ineptitud y corrupción del Gobierno.",fb,rafael correa reacciona a los gritos de la vicepresidenta maria jose pinto a mi no me parece muy bien por el contrario de ser sincera su reaccion me parece una gran inconsecuencia han reducido personal insumos y equipos pero se indigna por la falta de atencion y grita a una sencilla trabajadora que no tiene la culpa de la ineptitud y corrupcion del gobierno,"['rafael', 'corre', 'reaccion', 'grit', 'vicepresident', 'mari', 'jos', 'pint', 'parec', 'bien', 'contrari', 'ser', 'sincer', 'reaccion', 'parec', 'gran', 'inconsecuent', 'reduc', 'personal', 'insum', 'equip', 'indign', 'falt', 'atencion', 'grit', 'sencill', 'trabaj', 'culp', 'ineptitud', 'corrupcion', 'gobiern']",64
Debió gritarse ella misma y no utilizar como chivo expiatorio a una pobre empleada del centro de salud.,fb,debio gritarse ella misma y no utilizar como chivo expiatorio a una pobre empleada del centro de salud,"['debi', 'grit', 'mism', 'utiliz', 'chiv', 'expiatori', 'pobr', 'emple', 'centr', 'salud']",18
"Gracias a todos por sus comentarios, recuerden seguirnos y compartir nuestro contenido https://www.facebook.com/plumadigitalec/subscribenow...",fb,gracias a todos por sus comentarios recuerden seguirnos y compartir nuestro contenido,"['graci', 'comentari', 'recuerd', 'segu', 'compart', 'conten']",13
X eso es q crea divisiones todos esos q trabajan en hospitales subcentros fiscalías etc son correistas x eso hacen todo mal para q culpen al gobierno la medicina q llega la saben regalar entre ellos o votar para q digan q no hay,fb,x eso es q crea divisiones todos esos q trabajan en hospitales subcentros fiscalias etc son correistas x eso hacen todo mal para q culpen al gobierno la medicina q llega la saben regalar entre ellos o votar para q digan q no hay,"['cre', 'division', 'trabaj', 'hospital', 'subcentr', 'fiscali', 'etc', 'correist', 'hac', 'mal', 'culp', 'gobiern', 'medicin', 'lleg', 'sab', 'regal', 'vot', 'dig']",44
"Que incongruencia, el criticando de gritos,su gobierno fue gritos y amenazas, detenciones",fb,que incongruencia el criticando de gritossu gobierno fue gritos y amenazas detenciones,"['incongruent', 'critic', 'gritossu', 'gobiern', 'grit', 'amenaz', 'detencion']",12
"Que venga a ver cómo atienden y solo las va gritar sino hasta las metería presas se ve mucha negligencia, son pocos los que honran el uniforme y el juramento",fb,que venga a ver como atienden y solo las va gritar sino hasta las meteria presas se ve mucha negligencia son pocos los que honran el uniforme y el juramento,"['veng', 'ver', 'atiend', 'sol', 'grit', 'sin', 'meteri', 'pres', 'much', 'negligent', 'poc', 'honr', 'uniform', 'jurament']",30
"Cínico, eres el rey del maltrato y violencia verbal.",fb,cinico eres el rey del maltrato y violencia verbal,"['cinic', 'rey', 'maltrat', 'violenci', 'verbal']",9
"Que importa quien inauguró lo que se quiere es que den atención al pueblo por Dios hasta cuando"" quien ase mas",fb,que importa quien inauguro lo que se quiere es que den atencion al pueblo por dios hasta cuando quien ase mas,"['import', 'inaugur', 'quier', 'den', 'atencion', 'puebl', 'dios', 'ase', 'mas']",21
Lo mismo de siempre,fb,lo mismo de siempre,"['mism', 'siempr']",4
"La culpa la tenemos nosotros como ciudadanos, por comentar y darle importancia a lo que publican los medios digitales. Al Sr. Correa no le interesa nada de nuestro Ecuador, lo que le importa es crear polémica para mantenerse vivo en la política, y hay muchos que se prestan para este juego.",fb,la culpa la tenemos nosotros como ciudadanos por comentar y darle importancia a lo que publican los medios digitales al sr correa no le interesa nada de nuestro ecuador lo que le importa es crear polemica para mantenerse vivo en la politica y hay muchos que se prestan para este juego,"['culp', 'ciudadan', 'coment', 'darl', 'import', 'public', 'medi', 'digital', 'corre', 'interes', 'ecuador', 'import', 'cre', 'polem', 'manten', 'viv', 'polit', 'prest', 'jueg']",51
Quien necesita la opinión del prófugo ?? Este individuo NO representa a nuestro País. Felicitaciones Vicepresidenta del Ecuador . Gracias por su intervención ante la inoperancia de los funcionarios del hospital.,fb,quien necesita la opinion del profugo este individuo no representa a nuestro pais felicitaciones vicepresidenta del ecuador gracias por su intervencion ante la inoperancia de los funcionarios del hospital,"['necesit', 'opinion', 'profug', 'individu', 'represent', 'pais', 'felicit', 'vicepresident', 'ecuador', 'graci', 'intervencion', 'inoper', 'funcionari', 'hospital']",31
Yo me acuerdo cuando el mameluco correa fue a un hospital y los pacientes comenzaron a reclamarle medicinas y el mameluco les dijo el que primero me llore lo meto preso . Éso extrañan los borregos,fb,yo me acuerdo cuando el mameluco correa fue a un hospital y los pacientes comenzaron a reclamarle medicinas y el mameluco les dijo el que primero me llore lo meto preso eso extranan los borregos,"['acuerd', 'mameluc', 'corre', 'hospital', 'pacient', 'comenz', 'reclam', 'medicin', 'mameluc', 'dij', 'primer', 'llor', 'met', 'pres', 'extran', 'borreg']",36
"Quien critica, esto es resultado del endeudamiento en el que dejo al pais, se le olvido cuando el dejó a muchas familias de médicos sin el pan. Decía mi abuela que el ojo nunca ve para dentro sino para fuera.",fb,quien critica esto es resultado del endeudamiento en el que dejo al pais se le olvido cuando el dejo a muchas familias de medicos sin el pan decia mi abuela que el ojo nunca ve para dentro sino para fuera,"['critic', 'result', 'endeud', 'dej', 'pais', 'olvid', 'dej', 'much', 'famili', 'medic', 'pan', 'deci', 'abuel', 'ojo', 'nunc', 'dentr', 'sin']",40
"Rafael Correa, expresidente del Ecuador, tuvo una entrevista con Radio Pichincha. Correa reflexionó sobre la derrota del SÍ el 16 de noviembre. ""Es satisfactorio porque… Ver más",fb,rafael correa expresidente del ecuador tuvo una entrevista con radio pichincha correa reflexiono sobre la derrota del si el de noviembre es satisfactorio porque ver mas,"['rafael', 'corre', 'expresident', 'ecuador', 'entrev', 'radi', 'pichinch', 'corre', 'reflexion', 'derrot', 'noviembr', 'satisfactori', 'ver', 'mas']",27
"Rafael Correa reacciona a los gritos de la vicepresidenta María José Pinto: ""A mí no me parece «muy bien». Por el contrario, de ser sincera su reacción, me parece una g… Ver más",fb,rafael correa reacciona a los gritos de la vicepresidenta maria jose pinto a mi no me parece muy bien por el contrario de ser sincera su reaccion me parece una g ver mas,"['rafael', 'corre', 'reaccion', 'grit', 'vicepresident', 'mari', 'jos', 'pint', 'parec', 'bien', 'contrari', 'ser', 'sincer', 'reaccion', 'parec', 'ver', 'mas']",33
"Rafael Correa afirmó que el problema es que ""tenemos a dos primates con corbata"", Trump y Rubio, manejando la nación más poderosa de la historia de la humanidad, lo cua… Ver más",fb,rafael correa afirmo que el problema es que tenemos a dos primates con corbata trump y rubio manejando la nacion mas poderosa de la historia de la humanidad lo cua ver mas,"['rafael', 'corre', 'afirm', 'problem', 'dos', 'primat', 'corbat', 'trump', 'rubi', 'manej', 'nacion', 'mas', 'poder', 'histori', 'human', 'cua', 'ver', 'mas']",32
"#Ecuador| Rafael Correa defiende a Maduro y afirma que “el 70 % de la droga sale de los puertos ecuatorianos”, que “de Venezuela sale el 5 %” y que “Ecuador es el prin… Ver más",fb,rafael correa defiende a maduro y afirma que el de la droga sale de los puertos ecuatorianos que de venezuela sale el y que ecuador es el prin ver mas,"['rafael', 'corre', 'defiend', 'madur', 'afirm', 'drog', 'sal', 'puert', 'ecuatorian', 'venezuel', 'sal', 'ecuador', 'prin', 'ver', 'mas']",35
"Rafael Correa, expresidente del Ecuador, tuvo una entrevista con Radio Pichincha. Correa reflexionó sobre la derrota del SÍ el 16 de noviembre. ""Es satisfactorio porque algo queda, no pueden desturir todo"", expresó Correa. ""La estrategia de la derecha es generar terror"" comentó en este medio de comunicación.",fb,rafael correa expresidente del ecuador tuvo una entrevista con radio pichincha correa reflexiono sobre la derrota del si el de noviembre es satisfactorio porque algo queda no pueden desturir todo expreso correa la estrategia de la derecha es generar terror comento en este medio de comunicacion,"['rafael', 'corre', 'expresident', 'ecuador', 'entrev', 'radi', 'pichinch', 'corre', 'reflexion', 'derrot', 'noviembr', 'satisfactori', 'qued', 'pued', 'destur', 'expres', 'corre', 'estrategi', 'derech', 'gener', 'terror', 'coment', 'medi', 'comun']",47
No deberían entrevistar a personas que están prófugas,fb,no deberian entrevistar a personas que estan profugas,"['deberi', 'entrevist', 'person', 'estan', 'profug']",8
"Habla de valentía este tipo ,que haces fuera del país",fb,habla de valentia este tipo que haces fuera del pais,"['habl', 'valenti', 'tip', 'hac', 'pais']",10
"Si el tuviera valor vendría al país a rescatar a su amigo Glass, pero como es prófugo que se puede esperar.",fb,si el tuviera valor vendria al pais a rescatar a su amigo glass pero como es profugo que se puede esperar,"['valor', 'vendri', 'pais', 'rescat', 'amig', 'glass', 'profug', 'pued', 'esper']",21
Jajajaja....,fb,jajajaja,['jajajaj'],1
"Independientemente de que Noboa es un pésimo presidente, es ridículo que alguien como Correa exija algo así, más cuando se la pasaba diciendo que ""iba a renunciar"" si alguien le encontraba algo malo, y así pasaron varios casos y nunca renunció:",fb,independientemente de que noboa es un pesimo presidente es ridiculo que alguien como correa exija algo asi mas cuando se la pasaba diciendo que iba a renunciar si alguien le encontraba algo malo y asi pasaron varios casos y nunca renuncio,"['independient', 'nobo', 'pesim', 'president', 'ridicul', 'algui', 'corre', 'exij', 'asi', 'mas', 'pas', 'dic', 'iba', 'renunci', 'algui', 'encontr', 'mal', 'asi', 'pas', 'vari', 'cas', 'nunc', 'renunci']",41
- Gran Hermano y nunca renunció.,fb,gran hermano y nunca renuncio,"['gran', 'herman', 'nunc', 'renunci']",6
"- Caso Gastón Duzac y Cofiec, nunca renunció.",fb,caso gaston duzac y cofiec nunca renuncio,"['cas', 'gaston', 'duzac', 'cofiec', 'nunc', 'renunci']",8
"- Caso falsificación de título del primo, nunca renunció.",fb,caso falsificacion de titulo del primo nunca renuncio,"['cas', 'falsif', 'titul', 'prim', 'nunc', 'renunci']",9
Quien habla de valor jajajaja,fb,quien habla de valor jajajaja,"['habl', 'valor', 'jajajaj']",5
"Un prófugo ablando de valentía, que cosas no?",fb,un profugo ablando de valentia que cosas no,"['profug', 'abland', 'valenti', 'cos']",8
"Si el tuviera valentía, vendría a Ecuador a demostrar que es inocente con documentos en mano, eso es valentía.",fb,si el tuviera valentia vendria a ecuador a demostrar que es inocente con documentos en mano eso es valentia,"['valenti', 'vendri', 'ecuador', 'demostr', 'inocent', 'document', 'man', 'valenti']",19
Payaso pero venga y dígalo en una radio de acá… cierto me acorde que no puedes!!,fb,payaso pero venga y digalo en una radio de aca cierto me acorde que no puedes,"['payas', 'veng', 'digal', 'radi', 'aca', 'ciert', 'acord', 'pued']",16
"Si tuviera algo de valentía, llegaría Quito para trasladarle al encuentro!! Y si tuviera más valentía, terminaría con Patiño también!!",fb,si tuviera algo de valentia llegaria quito para trasladarle al encuentro y si tuviera mas valentia terminaria con patino tambien,"['valenti', 'llegari', 'quit', 'traslad', 'encuentr', 'mas', 'valenti', 'terminari', 'patin', 'tambi']",20
Así debe analizar q la. rc ya valió 3 atados,fb,asi debe analizar q la rc ya valio atados,"['asi', 'deb', 'analiz', 'vali', 'atad']",10
"Rafael Correa afirmó que el problema es que ""tenemos a dos primates con corbata"", Trump y Rubio, manejando la nación más poderosa de la historia de la humanidad, lo cual resulta ""peligroso"".",fb,rafael correa afirmo que el problema es que tenemos a dos primates con corbata trump y rubio manejando la nacion mas poderosa de la historia de la humanidad lo cual resulta peligroso,"['rafael', 'corre', 'afirm', 'problem', 'dos', 'primat', 'corbat', 'trump', 'rubi', 'manej', 'nacion', 'mas', 'poder', 'histori', 'human', 'result', 'peligr']",32
"Gracias a todos por sus comentarios, recuerden seguirnos y compartir nuestro contenido https://www.facebook.com/plumadigitalec/subscribenow...",fb,gracias a todos por sus comentarios recuerden seguirnos y compartir nuestro contenido,"['graci', 'comentari', 'recuerd', 'segu', 'compart', 'conten']",13
Tu imponias y amenazabas a todos tus opositores y ahora como te quedo el ojo que te hagan a ti asi????? Pronto caes en el Encuentro. ESO es todo.,fb,tu imponias y amenazabas a todos tus opositores y ahora como te quedo el ojo que te hagan a ti asi pronto caes en el encuentro eso es todo,"['imponi', 'amenaz', 'opositor', 'ahor', 'qued', 'ojo', 'hag', 'asi', 'pront', 'caes', 'encuentr']",29
La envidia y el estar profugo te está volviendo más loco cuatro pelos !!! jjajajaja,fb,la envidia y el estar profugo te esta volviendo mas loco cuatro pelos jjajajaja,"['envidi', 'profug', 'volv', 'mas', 'loc', 'cuatr', 'pel', 'jjajajaj']",15
Te lo juro que tarde que temprano caerás,fb,te lo juro que tarde que temprano caeras,"['jur', 'tard', 'tempran', 'caer']",8
"Está totalmente cerrado en sus creencias al pensar que Nicolás Maduro era un ángel bajado del cielo, con esto pierde credibilidad este señor, no hay vergüenza.",fb,esta totalmente cerrado en sus creencias al pensar que nicolas maduro era un angel bajado del cielo con esto pierde credibilidad este senor no hay verguenza,"['total', 'cerr', 'creenci', 'pens', 'nicol', 'madur', 'angel', 'baj', 'ciel', 'pierd', 'credibil', 'senor', 'verguenz']",26
