texto,origen,texto_limpio,tokens,longitud
Sounds like a fascinating discussion!,linkedin,sounds like a fascinating discussion,"['sounds', 'lik', 'fascinating', 'discussion']",5
"The origin of the blackouts and insecurity in Ecuador is Correismo  The blackouts, insecurity and the huge foreign debt all have their origin in the policies of the Rafael Correa regime  You will say how can we continue to blame Rafael Correa for the problems that occur almost eight years after he left power, and seven years since his elected successor and supporter Lenin Moreno ceased to be his supporter.  Well, it's simple. The three main problems facing Ecuador today are electricity blackouts, insecurity and high public debt. And all three problems have their origins in Correa's regime and policies.  Read more:  … más",linkedin,the origin of the blackouts and insecurity in ecuador is correismo the blackouts insecurity and the huge foreign debt all have their origin in the policies of the rafael correa regime you will say how can we continue to blame rafael correa for the problems that occur almost eight years after he left power and seven years since his elected successor and supporter lenin moreno ceased to be his supporter well its simple the three main problems facing ecuador today are electricity blackouts insecurity and high public debt and all three problems have their origins in correas regime and policies read more mas,"['the', 'origin', 'the', 'blackouts', 'and', 'insecurity', 'ecuador', 'correism', 'the', 'blackouts', 'insecurity', 'and', 'the', 'hug', 'foreign', 'debt', 'all', 'hav', 'the', 'origin', 'the', 'polici', 'the', 'rafael', 'corre', 'regim', 'you', 'will', 'say', 'how', 'can', 'continu', 'blam', 'rafael', 'corre', 'for', 'the', 'problems', 'that', 'occur', 'almost', 'eight', 'years', 'after', 'left', 'pow', 'and', 'sev', 'years', 'sinc', 'his', 'elect', 'successor', 'and', 'support', 'lenin', 'moren', 'ceas', 'his', 'support', 'well', 'its', 'simpl', 'the', 'thre', 'main', 'problems', 'facing', 'ecuador', 'today', 'are', 'electricity', 'blackouts', 'insecurity', 'and', 'high', 'public', 'debt', 'and', 'all', 'thre', 'problems', 'hav', 'the', 'origins', 'corr', 'regim', 'and', 'polici', 'read', 'mor', 'mas']",104
"""Latin American countries have historically been wary of foreign investment in sectors considered critical to national security but have been strangely open to Chinese technological investment,"" I told the United States Southern Command's Diálogo Américas Magazine.  ""Ecuador is no exception. The Rafael Correa government used [surveillance system] ECU-911 to spy on domestic political opponents, and because ECU-911 relies on Chinese engineers, there is a persistent risk of foreign surveillance.""  Thank you to Maria Zuppelo for inviting me to offer a quote.  … más",linkedin,latin american countries have historically been wary of foreign investment in sectors considered critical to national security but have been strangely open to chinese technological investment i told the united states southern commands dialogo americas magazine ecuador is no exception the rafael correa government used surveillance system ecu to spy on domestic political opponents and because ecu relies on chinese engineers there is a persistent risk of foreign surveillance thank you to maria zuppelo for inviting me to offer a quote mas,"['latin', 'americ', 'countri', 'hav', 'historically', 'been', 'wary', 'foreign', 'investment', 'sectors', 'consider', 'critical', 'national', 'security', 'but', 'hav', 'been', 'strangely', 'open', 'chines', 'technological', 'investment', 'told', 'the', 'unit', 'stat', 'southern', 'commands', 'dialog', 'amer', 'magazin', 'ecuador', 'exception', 'the', 'rafael', 'corre', 'government', 'used', 'surveillanc', 'system', 'ecu', 'spy', 'domestic', 'political', 'opponents', 'and', 'becaus', 'ecu', 'reli', 'chines', 'engineers', 'ther', 'persistent', 'risk', 'foreign', 'surveillanc', 'thank', 'you', 'mari', 'zuppel', 'for', 'inviting', 'offer', 'quot', 'mas']",83
Great work!,linkedin,great work,"['great', 'work']",2
Thank you!,linkedin,thank you,"['thank', 'you']",2
So cool Bo!,linkedin,so cool bo,['cool'],3
Thank you Bri!,linkedin,thank you bri,"['thank', 'you', 'bri']",3
Acá la lista de los “Presidentes” latinoamericanos que han hecho documentales sobre cómo vinieron a cambiar un país…   •Hugo Chávez y Nicolás Maduro •Fidel Castro  •Evo Morales  •Rafael Correa  •Daniel Ortega   Evidente el patrón…,x,aca la lista de los presidentes latinoamericanos que han hecho documentales sobre como vinieron a cambiar un pais hugo chavez y nicolas maduro fidel castro evo morales rafael correa daniel ortega evidente el patron,"['aca', 'list', 'president', 'latinoamerican', 'hech', 'documental', 'vin', 'cambi', 'pais', 'hug', 'chavez', 'nicol', 'madur', 'fidel', 'castr', 'evo', 'moral', 'rafael', 'corre', 'daniel', 'orteg', 'evident', 'patron']",34
"| INDIGNANTE: El periodista Andrés López visitó la Refinería del Pacífico, el mega proyecto de Rafael Correa en alianza con el chavismo que terminó en corrupción y despilfarro de más de USD 2.000 millones. ""Este debería ser un sitio turístico… imposible no sentir",x,indignante el periodista andres lopez visito la refineria del pacifico el mega proyecto de rafael correa en alianza con el chavismo que termino en corrupcion y despilfarro de mas de usd millones este deberia ser un sitio turistico imposible no sentir,"['indign', 'period', 'andres', 'lopez', 'visit', 'refineri', 'pacif', 'meg', 'proyect', 'rafael', 'corre', 'alianz', 'chavism', 'termin', 'corrupcion', 'despilfarr', 'mas', 'usd', 'millon', 'deberi', 'ser', 'siti', 'turist', 'impos', 'sent']",43
"Code reviews detect defects 200% more often than most testing (Capers Jones, 12k+ projects).  That’s why we built CodeCheck, automated code review that enforces complexity, architecture, and maintainability rules before issues reach production.",x,code reviews detect defects more often than most testing capers jones k projects thats why we built codecheck automated code review that enforces complexity architecture and maintainability rules before issues reach production,"['cod', 'reviews', 'detect', 'defects', 'mor', 'often', 'than', 'most', 'testing', 'capers', 'jon', 'projects', 'thats', 'why', 'built', 'codecheck', 'automat', 'cod', 'review', 'that', 'enforc', 'complexity', 'architectur', 'and', 'maintainability', 'rul', 'befor', 'issu', 'reach', 'production']",33
